Time,RAM,CPU,,Time,RAM,AVG: 0.68632015140725,MIN
27:21.8,45.65442261,39.78644501,,0:06:41,0.489183073,0.686320151,
27:22.8,45.63751906,45.17146323,,0:06:42,0.472279522,0.686320151,
27:23.8,45.6488436,44.26384468,,0:06:43,0.483604055,0.686320151,
27:24.8,45.67546878,37.24408391,,0:06:44,0.51022924,0.686320151,
27:25.8,45.67163841,38.69739592,,0:06:45,0.506398874,0.686320151,
27:26.8,46.05396689,56.84841465,,0:06:46,0.888727349,0.686320151,
27:27.8,45.64988447,61.23779123,,0:06:47,0.484644924,0.686320151,
27:28.8,45.66437324,39.12627876,,0:06:48,0.499133696,0.686320151,
27:29.8,45.67886199,37.13958,,0:06:49,0.513622444,0.686320151,
27:30.8,45.68260909,41.7832595,,0:06:50,0.517369551,0.686320151,
27:31.8,45.67165923,38.23197549,,0:06:51,0.506419689,0.686320151,
27:32.8,45.68262991,36.7636427,,0:06:52,0.517390366,0.686320151,
27:33.8,45.68215111,41.37067604,,0:06:53,0.516911573,0.686320151,
27:34.8,45.6431605,50.43255615,,0:06:54,0.477920962,0.686320151,
27:35.8,45.66537245,37.53247743,,0:06:55,0.500132912,0.686320151,
27:36.8,46.02494772,47.34122719,,0:06:56,0.859708176,0.686320151,
27:37.8,46.03974874,53.76249621,,0:06:57,0.874509197,0.686320151,
27:38.8,46.06298072,60.18520828,,0:06:58,0.897741178,0.686320151,
27:39.8,46.06989202,54.58656656,,0:06:59,0.904652477,0.686320151,
27:40.8,46.09712091,55.81162565,,0:07:00,0.931881368,0.686320151,
27:41.8,46.03795846,56.83430746,,0:07:01,0.872718916,0.686320151,
27:42.8,46.03310806,60.17489062,,0:07:02,0.867868518,0.686320151,
27:43.8,46.03244191,52.71822223,,0:07:03,0.867202366,0.686320151,
27:44.8,46.03235865,53.53863003,,0:07:04,0.867119106,0.686320151,
27:45.8,45.66379035,56.82419904,,0:07:05,0.498550804,0.686320151,
27:46.8,45.68229682,51.98229541,,0:07:06,0.517057278,0.686320151,
27:47.8,45.69430834,38.78111947,,0:07:07,0.529068802,0.686320151,
27:48.8,45.71096209,38.38145231,,0:07:08,0.545722549,0.686320151,
27:49.8,45.67725906,44.88779692,,0:07:09,0.512019522,0.686320151,
27:50.8,45.7024895,37.34180026,,0:07:10,0.537249958,0.686320151,
27:51.8,45.72032982,36.56345639,,0:07:11,0.55509028,0.686320151,
27:52.8,45.71092046,41.21369156,,0:07:12,0.545680919,0.686320151,
27:53.8,45.71889344,41.05481641,,0:07:13,0.553653902,0.686320151,
27:54.8,45.71712398,37.58653809,,0:07:14,0.551884435,0.686320151,
27:55.8,45.71602066,46.82367566,,0:07:15,0.550781121,0.686320151,
