Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
07:43.8,47.17701863,,03:02.0,0.075586094,0.705007556,,26.04285106
07:44.8,47.16048915,,03:03.0,0.059056608,0.705007556,,35.00679328
07:45.8,47.17282163,,03:04.0,0.071389088,0.705007556,,34.32122924
07:46.8,47.17238402,,03:05.0,0.070951483,0.705007556,,28.63298205
07:47.8,47.17212544,,03:06.0,0.070692902,0.705007556,,40.67473224
07:48.8,47.18553201,,03:07.0,0.084099476,0.705007556,,29.25929287
07:49.8,47.17437312,,03:08.0,0.072940579,0.705007556,,30.92735549
07:50.8,47.175308,,03:09.0,0.073875464,0.705007556,,35.2762057
07:51.8,47.23695045,,03:10.0,0.135517912,0.705007556,,46.26645975
07:52.8,47.48891072,,03:11.0,0.387478178,0.705007556,,47.95737079
07:53.8,47.71025862,,03:12.0,0.60882608,0.705007556,,59.69061736
07:54.8,47.24739325,,03:13.0,0.145960716,0.705007556,,40.71224139
07:55.8,47.24862651,,03:14.0,0.147193973,0.705007556,,32.49075342
07:56.8,47.24741316,,03:15.0,0.145980623,0.705007556,,31.93395531
07:57.8,47.26746335,,03:16.0,0.16603081,0.705007556,,38.29882415
07:58.8,47.28273972,,03:17.0,0.181307178,0.705007556,,37.05176162
07:59.8,47.29272503,,03:18.0,0.191292493,0.705007556,,32.92006622
08:00.8,47.28757323,,03:19.0,0.186140696,0.705007556,,36.70148399
08:01.8,47.2794179,,03:20.0,0.17798536,0.705007556,,43.6725603
08:02.8,47.28882638,,03:21.0,0.187393837,0.705007556,,32.31281653
08:03.8,47.26611077,,03:22.0,0.164678227,0.705007556,,35.29558676
08:04.8,47.25111289,,03:23.0,0.149680348,0.705007556,,39.23032621
08:05.8,47.25248538,,03:24.0,0.151052838,0.705007556,,28.61099156
08:06.8,47.25403689,,03:25.0,0.152604352,0.705007556,,25.71426985
08:07.8,47.2664887,,03:26.0,0.165056158,0.705007556,,29.08557915
08:08.8,47.24313657,,03:27.0,0.141704036,0.705007556,,31.68031755
08:09.8,47.24337527,,03:28.0,0.141942734,0.705007556,,29.53258306
08:10.8,47.24616002,,03:29.0,0.144727482,0.705007556,,26.03342596
08:11.8,47.23945673,,03:30.0,0.138024194,0.705007556,,33.41250626
08:12.8,47.25485243,,03:31.0,0.153419888,0.705007556,,36.28409625
08:13.8,47.23989434,,03:32.0,0.138461799,0.705007556,,26.00828254
08:14.8,47.2497603,,03:33.0,0.148327765,0.705007556,,40.1287538
08:15.8,47.25926825,,03:34.0,0.157835707,0.705007556,,30.48359036
08:16.8,47.24978019,,03:35.0,0.148347649,0.705007556,,29.43338782
08:17.8,47.25761727,,03:36.0,0.156184728,0.705007556,,38.74464749
08:18.8,47.26050148,,03:37.0,0.159068941,0.705007556,,28.33344181
08:19.8,47.25745815,,03:38.0,0.156025612,0.705007556,,27.79821889
08:20.8,47.24516546,,03:39.0,0.143732922,0.705007556,,31.61559714
08:21.8,47.24419081,,03:40.0,0.14275827,0.705007556,,31.74961856
08:22.8,47.27349036,,03:41.0,0.172057818,0.705007556,,25.69276279
08:23.8,47.24860663,,03:42.0,0.147174089,0.705007556,,26.00338685
08:24.8,47.25210745,,03:43.0,0.150674908,0.705007556,,36.61557949
08:25.8,47.24997909,,03:44.0,0.148546556,0.705007556,,31.14294049
08:26.8,47.25013823,,03:45.0,0.148705696,0.705007556,,29.7821512
08:27.8,47.24415102,,03:46.0,0.142718479,0.705007556,,34.88819927
08:28.8,47.25111289,,03:47.0,0.149680348,0.705007556,,28.84044485
08:29.8,47.25039682,,03:48.0,0.148964278,0.705007556,,25.59361081
08:30.8,47.24695565,,03:49.0,0.14552311,0.705007556,,33.62535702
08:31.8,47.25256493,,03:50.0,0.151132396,0.705007556,,34.48936008
08:32.8,47.24942216,,03:51.0,0.147989625,0.705007556,,26.13259655
08:33.8,47.24657772,,03:52.0,0.14514518,0.705007556,,39.68349089
08:34.8,47.25821401,,03:53.0,0.156781473,0.705007556,,30.83365521
08:35.8,47.25280363,,03:54.0,0.151371094,0.705007556,,29.0449389
08:36.8,47.2533407,,03:55.0,0.151908165,0.705007556,,34.7739712
08:37.8,47.27364947,,03:56.0,0.172216934,0.705007556,,30.03570206
08:38.8,47.2470949,,03:57.0,0.145662366,0.705007556,,26.71139959
08:39.8,47.24092866,,03:58.0,0.139496126,0.705007556,,40.69435971
08:40.8,47.25117256,,03:59.0,0.149740023,0.705007556,,29.97677858
08:41.8,47.24882542,,04:00.0,0.14739288,0.705007556,,31.45629428
08:42.8,47.24514558,,04:01.0,0.143713038,0.705007556,,31.61220425
08:43.8,47.25214724,,04:02.0,0.150714698,0.705007556,,31.27515862
08:44.8,47.24120713,,04:03.0,0.139774592,0.705007556,,31.29394787
08:45.8,47.24080932,,04:04.0,0.139376777,0.705007556,,31.24714937
08:46.8,47.26585218,,04:05.0,0.164419645,0.705007556,,43.34169594
08:47.8,47.81273744,,04:06.0,0.711304904,0.705007556,,55.84956305
08:48.8,48.018809,,04:07.0,0.917376462,0.705007556,,57.79966544
08:49.8,48.01960463,,04:08.0,0.918172091,0.705007556,,40.2217376
08:50.8,48.01974386,,04:09.0,0.918311323,0.705007556,,37.85454511
08:51.8,48.02497522,,04:10.0,0.923542679,0.705007556,,41.50647695
08:52.8,48.38196038,,04:11.0,1.280527842,0.705007556,,56.23851148
08:53.8,48.07458356,,04:12.0,0.973151019,0.705007556,,56.06393342
08:54.8,48.02775996,,04:13.0,0.926327426,0.705007556,,41.62739027
08:55.8,48.17378038,,04:14.0,1.07234784,0.705007556,,53.27232711
08:56.8,48.18565535,,04:15.0,1.084222808,0.705007556,,58.5136507
08:57.8,48.205805,,04:16.0,1.104372461,0.705007556,,57.03696501
08:58.8,48.2062426,,04:17.0,1.104810066,0.705007556,,60.89080104
08:59.8,48.18655044,,04:18.0,1.085117902,0.705007556,,59.01267179
09:00.8,48.05658214,,04:19.0,0.955149601,0.705007556,,51.70705482
09:01.8,48.03585565,,04:20.0,0.934423111,0.705007556,,41.13140408
09:02.8,48.04870527,,04:21.0,0.947272731,0.705007556,,39.45962793
09:03.8,48.0504159,,04:22.0,0.948983361,0.705007556,,43.33934753
09:04.8,48.0504159,,04:23.0,0.948983361,0.705007556,,43.58450648
09:05.8,48.0428374,,04:24.0,0.941404863,0.705007556,,42.40936214
09:06.8,48.0676018,,04:25.0,0.966169266,0.705007556,,39.13464878
09:07.8,48.09914905,,04:26.0,0.997716515,0.705007556,,53.55100087
09:08.8,48.09471333,,04:27.0,0.993280788,0.705007556,,43.81891448
09:09.8,48.04671617,,04:28.0,0.945283636,0.705007556,,42.04233916
09:10.8,48.0611571,,04:29.0,0.959724561,0.705007556,,40.02400903
09:11.8,48.05202709,,04:30.0,0.950594549,0.705007556,,44.2721875
09:12.8,48.05204697,,04:31.0,0.950614433,0.705007556,,42.50895536
09:13.8,48.06097808,,04:32.0,0.959545537,0.705007556,,39.16320345
09:14.8,48.07102306,,04:33.0,0.969590526,0.705007556,,38.6739388
09:15.8,48.09381823,,04:34.0,0.992385694,0.705007556,,39.24106763
09:16.8,48.05282274,,04:35.0,0.951390201,0.705007556,,40.20025251
09:17.8,48.02970929,,04:36.0,0.928276754,0.705007556,,42.59176628
09:18.8,48.03374718,,04:37.0,0.932314643,0.705007556,,39.00235826
09:19.8,48.02274742,,04:38.0,0.921314885,0.705007556,,42.44396213
09:20.8,48.01329916,,04:39.0,0.911866618,0.705007556,,44.64980075
09:21.8,48.0062975,,04:40.0,0.904864958,0.705007556,,45.04003816
09:22.8,48.01091222,,04:41.0,0.909479684,0.705007556,,39.12890097
09:23.8,48.00977843,,04:42.0,0.908345892,0.705007556,,40.69193745
09:24.8,48.01057408,,04:43.0,0.909141544,0.705007556,,43.96189354
09:25.8,48.01518881,,04:44.0,0.913756271,0.705007556,,39.09772852
09:26.8,48.01119071,,04:45.0,0.909758173,0.705007556,,40.75008742
